[citi] proxy: none (direct). If Excel needs a proxy, set HTTPS_PROXY or pass --proxy host:port.
============================================================
[citi] UID  : http://localhost:8198/    (serves UnifiedPricer.html)
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=879
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=883
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=883
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=886
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=886
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=889
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=889
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=892
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=892
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=893
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=893
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=897
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=897
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=899
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=899
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=902
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=902
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=904
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=904
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=907
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=907
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=910
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=910
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=913
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=913
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=915
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=915
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=917
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=917
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=918
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=918
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=920
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=920
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=922
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=922
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=924
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=924
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=927
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=927
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=929
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=929
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=932
