date,product,expiry,tenor,leg,value
2026-06-25 00:00:00,swap_par,,5Y,,3.87543
2026-06-25 00:00:00,swap_par,,6M,,3.8451
2026-06-25 00:00:00,swap_par,,6Y,,3.88631
2026-06-25 00:00:00,swap_par,,7Y,,3.9043
2026-06-25 00:00:00,swap_par,,8Y,,3.92767
2026-06-25 00:00:00,swap_par,,9Y,,3.95389
2026-06-26 00:00:00,swap_par,,10Y,,3.95987
2026-06-26 00:00:00,swap_par,,12Y,,4.02468
2026-06-26 00:00:00,swap_par,,15Y,,4.10805
2026-06-26 00:00:00,swap_par,,1Y,,3.96469
2026-06-26 00:00:00,swap_par,,20Y,,4.18345
2026-06-26 00:00:00,swap_par,,25Y,,4.17821
2026-06-26 00:00:00,swap_par,,2Y,,3.93896
2026-06-26 00:00:00,swap_par,,30Y,,4.14027
2026-06-26 00:00:00,swap_par,,3Y,,3.8793
2026-06-26 00:00:00,swap_par,,40Y,,4.01668
2026-06-26 00:00:00,swap_par,,4Y,,3.84608
2026-06-26 00:00:00,swap_par,,5Y,,3.83909
2026-06-26 00:00:00,swap_par,,6M,,3.82678
2026-06-26 00:00:00,swap_par,,6Y,,3.85321
2026-06-26 00:00:00,swap_par,,7Y,,3.87446
2026-06-26 00:00:00,swap_par,,8Y,,3.90075
2026-06-26 00:00:00,swap_par,,9Y,,3.92965
2026-06-29 00:00:00,swap_par,,10Y,,3.95634
2026-06-29 00:00:00,swap_par,,12Y,,4.01728
2026-06-29 00:00:00,swap_par,,15Y,,4.09914
2026-06-29 00:00:00,swap_par,,1Y,,3.98173
2026-06-29 00:00:00,swap_par,,20Y,,4.16899
2026-06-29 00:00:00,swap_par,,25Y,,4.16349
2026-06-29 00:00:00,swap_par,,2Y,,3.95881
2026-06-29 00:00:00,swap_par,,30Y,,4.12557
2026-06-29 00:00:00,swap_par,,3Y,,3.89614
2026-06-29 00:00:00,swap_par,,40Y,,4.00147
2026-06-29 00:00:00,swap_par,,4Y,,3.86054
2026-06-29 00:00:00,swap_par,,5Y,,3.85046
2026-06-29 00:00:00,swap_par,,6M,,3.85011
2026-06-29 00:00:00,swap_par,,6Y,,3.86073
2026-06-29 00:00:00,swap_par,,7Y,,3.87847
2026-06-29 00:00:00,swap_par,,8Y,,3.90207
2026-06-29 00:00:00,swap_par,,9Y,,3.92833
2026-06-30 00:00:00,swap_par,,10Y,,3.99751
2026-06-30 00:00:00,swap_par,,12Y,,4.05883
2026-06-30 00:00:00,swap_par,,15Y,,4.13987
