date,name
1995-12-25,Chanukah Day 8
1996-01-02,Fast of 10 Tevet
1996-02-05,Tu BiShvat
1996-03-04,Fast of Esther
1996-03-05,Purim
1996-03-06,Shushan Purim
1996-04-04,Pesach I
1996-04-05,Pesach II
1996-04-06,Chol HaMoed Pesach
1996-04-07,Chol HaMoed Pesach
1996-04-08,Chol HaMoed Pesach
1996-04-09,Chol HaMoed Pesach
1996-04-10,Pesach VII
1996-04-11,Pesach VIII
1996-04-16,Yom HaShoah
1996-04-23,Yom HaZikaron
1996-04-24,Yom HaAtzmaut
1996-05-07,Lag B'Omer
1996-05-17,Yom Yerushalayim
1996-05-24,Shavuot I
1996-05-25,Shavuot II
1996-07-04,Fast of 17 Tammuz
1996-07-25,Tisha B'Av
1996-07-31,Tu B'Av
1996-09-14,Rosh Hashanah I
1996-09-15,Rosh Hashanah II
1996-09-16,Fast of Gedaliah
1996-09-23,Yom Kippur
1996-09-28,Sukkot I
1996-09-29,Sukkot II
1996-09-30,Chol HaMoed Sukkot
1996-10-01,Chol HaMoed Sukkot
1996-10-02,Chol HaMoed Sukkot
1996-10-03,Chol HaMoed Sukkot
1996-10-04,Hoshana Rabbah
1996-10-05,Shemini Atzeret
1996-10-06,Simchat Torah
1996-12-06,Chanukah Day 1
1996-12-07,Chanukah Day 2
1996-12-08,Chanukah Day 3
1996-12-09,Chanukah Day 4
1996-12-10,Chanukah Day 5
1996-12-11,Chanukah Day 6
1996-12-12,Chanukah Day 7
1996-12-13,Chanukah Day 8
1996-12-20,Fast of 10 Tevet
1997-01-23,Tu BiShvat
1997-02-21,Purim Katan
1997-02-22,Shushan Purim Katan
1997-03-20,Fast of Esther
1997-03-23,Purim
1997-03-24,Shushan Purim
1997-04-22,Pesach I
1997-04-23,Pesach II
1997-04-24,Chol HaMoed Pesach
1997-04-25,Chol HaMoed Pesach
1997-04-26,Chol HaMoed Pesach
1997-04-27,Chol HaMoed Pesach
1997-04-28,Pesach VII
1997-04-29,Pesach VIII
1997-05-05,Yom HaShoah
1997-05-12,Yom HaZikaron
1997-05-13,Yom HaAtzmaut
1997-05-25,Lag B'Omer
1997-06-04,Yom Yerushalayim
1997-06-11,Shavuot I
1997-06-12,Shavuot II
1997-07-22,Fast of 17 Tammuz
1997-08-12,Tisha B'Av
1997-08-18,Tu B'Av
1997-10-02,Rosh Hashanah I
1997-10-03,Rosh Hashanah II
1997-10-05,Fast of Gedaliah
1997-10-11,Yom Kippur
1997-10-16,Sukkot I
1997-10-17,Sukkot II
1997-10-18,Chol HaMoed Sukkot
1997-10-19,Chol HaMoed Sukkot
1997-10-20,Chol HaMoed Sukkot
1997-10-21,Chol HaMoed Sukkot
1997-10-22,Hoshana Rabbah
1997-10-23,Shemini Atzeret
1997-10-24,Simchat Torah
1997-12-24,Chanukah Day 1
1997-12-25,Chanukah Day 2
1997-12-26,Chanukah Day 3
1997-12-27,Chanukah Day 4
1997-12-28,Chanukah Day 5
