date,name
2021-05-05,Children's Day
2021-07-22,Marine Day (2021)
2021-07-23,Health and Sports Day (2021)
2021-08-09,Mountain Day (2021)
2021-09-20,Respect for the Aged Day (2003 onwards)
2021-09-23,JPX Holiday
2021-09-23,XTKS Holiday
2021-11-03,Culture Day
2021-11-23,Labor Thanksgiving Day
2021-12-31,New Year's Holiday (Dec 31)
2022-01-03,New Year's Holiday (Jan 3)
2022-01-10,Coming of Age Day (2000 onwards)
2022-02-11,National Foundation Day
2022-02-23,Emperor Naruhito's Birthday
2022-03-21,JPX Holiday
2022-03-21,XTKS Holiday
2022-04-29,Showa Day
2022-05-03,Constitution Memorial Day
2022-05-04,Greenery Day
2022-05-05,Children's Day
2022-07-18,Marine Day (2022 onwards)
2022-08-11,Mountain Day (2022 onwards)
2022-09-19,Respect for the Aged Day (2003 onwards)
2022-09-23,JPX Holiday
2022-09-23,XTKS Holiday
2022-10-10,Health and Sports Day (2022 onwards)
2022-11-03,Culture Day
2022-11-23,Labor Thanksgiving Day
2023-01-02,New Year's Holiday (Jan 2)
2023-01-03,New Year's Holiday (Jan 3)
2023-01-09,Coming of Age Day (2000 onwards)
2023-02-23,Emperor Naruhito's Birthday
2023-03-21,JPX Holiday
2023-03-21,XTKS Holiday
2023-05-03,Constitution Memorial Day
2023-05-04,Greenery Day
2023-05-05,Children's Day
2023-07-17,Marine Day (2022 onwards)
2023-08-11,Mountain Day (2022 onwards)
2023-09-18,Respect for the Aged Day (2003 onwards)
2023-10-09,Health and Sports Day (2022 onwards)
2023-11-03,Culture Day
2023-11-23,Labor Thanksgiving Day
2024-01-01,New Year's Day
2024-01-02,New Year's Holiday (Jan 2)
2024-01-03,New Year's Holiday (Jan 3)
2024-01-08,Coming of Age Day (2000 onwards)
2024-02-12,National Foundation Day
2024-02-23,Emperor Naruhito's Birthday
2024-03-20,JPX Holiday
2024-03-20,XTKS Holiday
2024-04-29,Showa Day
2024-05-03,Constitution Memorial Day
2024-05-06,Children's Day
2024-07-15,Marine Day (2022 onwards)
2024-08-12,Mountain Day (2022 onwards)
2024-09-16,Respect for the Aged Day (2003 onwards)
2024-09-23,JPX Holiday
2024-09-23,XTKS Holiday
2024-10-14,Health and Sports Day (2022 onwards)
2024-11-04,Culture Day
2024-12-31,New Year's Holiday (Dec 31)
2025-01-01,New Year's Day
