date,name
2007-01-08,Coming of Age Day
2007-02-11,National Foundation Day
2007-02-12,National Foundation Day (substitute)
2007-03-21,Vernal Equinox Day
2007-04-29,Showa Day
2007-04-30,Showa Day (substitute)
2007-05-03,Constitution Memorial Day
2007-05-04,Greenery Day
2007-05-05,Children's Day
2007-07-16,Marine Day
2007-09-17,Respect for the Aged Day
2007-09-23,Autumnal Equinox Day
2007-09-24,Autumnal Equinox Day (substitute)
2007-10-08,Health-Sports Day
2007-11-03,Culture Day
2007-11-23,Labor Thanksgiving Day
2007-12-23,Emperor's Birthday
2007-12-24,Emperor's Birthday (substitute)
2007-12-31,Bank Holiday
2008-01-01,New Year's Day
2008-01-02,Bank Holiday
2008-01-03,Bank Holiday
2008-01-14,Coming of Age Day
2008-02-11,National Foundation Day
2008-03-20,Vernal Equinox Day
2008-04-29,Showa Day
2008-05-03,Constitution Memorial Day
2008-05-04,Greenery Day
2008-05-05,Children's Day
2008-05-06,Greenery Day (substitute)
2008-07-21,Marine Day
2008-09-15,Respect for the Aged Day
2008-09-23,Autumnal Equinox Day
2008-10-13,Health-Sports Day
2008-11-03,Culture Day
2008-11-23,Labor Thanksgiving Day
2008-11-24,Labor Thanksgiving Day (substitute)
2008-12-23,Emperor's Birthday
2008-12-31,Bank Holiday
2009-01-01,New Year's Day
2009-01-02,Bank Holiday
2009-01-03,Bank Holiday
2009-01-12,Coming of Age Day
2009-02-11,National Foundation Day
2009-03-20,Vernal Equinox Day
2009-04-29,Showa Day
2009-05-03,Constitution Memorial Day
2009-05-04,Greenery Day
2009-05-05,Children's Day
2009-05-06,Constitution Memorial Day (substitute)
2009-07-20,Marine Day
2009-09-21,Respect for the Aged Day
2009-09-22,Citizens' Holiday
2009-09-23,Autumnal Equinox Day
2009-10-12,Health-Sports Day
2009-11-03,Culture Day
2009-11-23,Labor Thanksgiving Day
2009-12-23,Emperor's Birthday
2009-12-31,Bank Holiday
2010-01-01,New Year's Day
2010-01-02,Bank Holiday
2010-01-03,Bank Holiday
2010-01-11,Coming of Age Day
2010-02-11,National Foundation Day
2010-03-21,Vernal Equinox Day
2010-03-22,Vernal Equinox Day (substitute)
